
2025/01/14 (13:50:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/14 (13:50:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/14 (14:11:32) | ===> btop++ v.1.4.0
2025/01/14 (14:11:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/14 (14:11:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/14 (14:46:36) | ===> btop++ v.1.4.0
2025/01/14 (14:46:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/14 (14:46:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/14 (15:11:03) | ===> btop++ v.1.4.0
2025/01/14 (15:11:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/14 (15:11:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/14 (15:19:34) | ===> btop++ v.1.4.0
2025/01/14 (15:19:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/14 (15:19:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/14 (01:19:13) | ===> btop++ v.1.4.0
2025/01/14 (01:19:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/14 (01:19:13) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/14 (01:19:13) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/14 (01:19:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/14 (01:19:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/14 (01:19:13) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/14 (01:19:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/14 (01:04:36) | ===> btop++ v.1.4.0
2025/01/14 (01:04:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/14 (01:04:36) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/14 (01:04:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/14 (01:04:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/14 (01:04:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/14 (01:04:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/14 (01:04:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/14 (01:04:42) | ===> btop++ v.1.4.0
2025/01/14 (01:04:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/14 (01:04:42) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/14 (01:04:42) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/14 (01:04:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/14 (01:04:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/14 (01:04:42) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/14 (01:04:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/15 (00:11:33) | ===> btop++ v.1.4.0
2025/01/15 (00:11:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (00:11:33) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/15 (00:11:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/15 (00:11:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (00:11:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/15 (00:11:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/15 (00:11:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/15 (00:11:42) | ===> btop++ v.1.4.0
2025/01/15 (00:11:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (00:11:42) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/15 (00:11:42) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/15 (00:11:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (00:11:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/15 (00:11:42) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/15 (00:11:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/15 (02:44:57) | ===> btop++ v.1.4.0
2025/01/15 (02:44:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/15 (02:44:57) | WARNING: ROCm SMI: Failed to get PCIe throughput
